선수명,level,season,IP_mlbstatsapi,IP_fangraphs,my_fip,fangraphs_fip,diff,cFIP_used
브라울리오 라라,AAA,2015,28.0,28.0,3.062,3.528,-0.466,3.1336
로버트 코엘로,MLB,2010,5.667,5.667,3.96,3.96,-0.0,3.0778
로버트 코엘로,MLB,2012,6.333,6.333,6.095,6.094,0.0,3.0945
로버트 코엘로,MLB,2013,17.0,17.0,2.518,2.518,0.0,3.0479
로버트 코엘로,AAA,2009,1.333,1.333,1.597,1.65,-0.052,3.0971
로버트 코엘로,AAA,2010,64.0,64.0,4.328,4.505,-0.177,3.0778
로버트 코엘로,AAA,2011,95.0,95.0,3.941,4.699,-0.758,3.0254
로버트 코엘로,AAA,2012,42.0,42.0,3.571,4.144,-0.573,3.0945
로버트 코엘로,AAA,2013,18.667,18.667,2.566,3.088,-0.522,3.0479
스콧 맥그레거,AAA,2013,100.667,100.667,3.992,4.513,-0.522,3.0479
스콧 맥그레거,AAA,2015,107.0,107.0,4.648,4.671,-0.023,3.1336
재크 페트릭,AAA,2014,115.0,115.0,4.558,5.126,-0.568,3.1323
재크 페트릭,AAA,2015,157.333,157.333,3.521,3.987,-0.466,3.1336
앤서니 레나도,MLB,2014,39.333,39.333,6.895,6.895,0.0,3.1323
앤서니 레나도,MLB,2015,15.333,15.333,5.155,5.155,-0.0,3.1336
앤서니 레나도,MLB,2016,31.333,31.333,8.061,8.061,0.0,3.1466
앤서니 레나도,AAA,2013,30.333,30.333,2.784,2.941,-0.157,3.0479
앤서니 레나도,AAA,2014,138.0,138.0,3.632,3.858,-0.225,3.1323
앤서니 레나도,AAA,2015,118.0,118.0,4.422,4.888,-0.466,3.1336
팻 딘,MLB,2016,67.333,67.333,5.196,5.196,0.0,3.1466
팻 딘,AAA,2013,40.0,40.0,2.398,2.555,-0.157,3.0479
팻 딘,AAA,2015,179.0,179.0,3.419,3.442,-0.023,3.1336
팻 딘,AAA,2016,87.333,87.333,4.234,4.257,-0.023,3.1466
닉 애디튼,AAA,2011,96.667,96.667,4.525,5.283,-0.758,3.0254
닉 애디튼,AAA,2012,87.0,87.0,4.278,4.852,-0.573,3.0945
닉 애디튼,AAA,2013,131.667,131.667,3.686,4.208,-0.522,3.0479
닉 애디튼,AAA,2014,89.667,89.667,3.835,4.06,-0.225,3.1323
닉 애디튼,AAA,2015,74.333,74.333,3.726,4.191,-0.466,3.1336
닉 애디튼,AAA,2016,80.333,80.333,3.931,3.953,-0.023,3.1466
